device,operating system,physical size (inch),physical size (centimeters),width (px),height (px),device width,px per inch,px density,
Apple iPhone 7,iOS,4.7,11.5,750,1334,750,326,100% MDPI,100
Apple iPhone 7+,iOS,5.5,14,1080,1920,1080,401,100% MDPI,100
Apple iPhone 6,iOS,4.7,11.9,750,1334,750,326,100% MDPI,67
Apple iPhone 6+,iOS,5.5,14,1080,1920,1080,401,100% MDPI,54
Apple iPhone 6s,iOS,4.7,11.9,750,1334,750,326,100% MDPI,36
"Apple iPhone 5 (5c, 5s)",iOS,4,10,640,1136,320,326,200% XHDPI,16
Samsung Galaxy S6,Android,5.1,13,1440,2560,1440,577,100% MDPI,13
Samsung Galaxy S8+,Android,6.2,15.7,2960,1440,2960,529,100% MDPI,13
Google Pixel,Android,5,12.7,1080,1920,1080,441,100% MDPI,11
Apple iPad Pro,iOS,12.9,32.8,2732,2048,2732,264,100% MDPI,11
Samsung Galaxy S5,Android,5.1,13,1080,1920,1080,432,100% MDPI,9
Apple iPad Mini,iOS,7.9,20,768,1024,768,163,100% MDPI,9
Apple iPad Air 2,iOS,9.7,24.4,2048,1536,2048,264,100% MDPI,9
Samsung A5,Android,5,12.7,720,1280,720,294,100% MDPI,7
"Apple iPhone 4 (4, 4S)",iOS,3.5,8.9,640,960,320,326,200% XHDPI,7
LG G4,Android,5.5,14,1440,2560,1440,538,100% MDPI,6
Samsung Galaxy J7,Android,5.5,14,720,1280,720,267,100% MDPI,6
Huawei P8,Android,5.2,13.2,1080,1920,1080,424,100% MDPI,4
LG G3,Android,5.5,12.7,1440,2560,1440,538,100% MDPI,4
Samsung Galaxy S6 Edge+,Android,5.7,14.5,1440,2560,1440,518,100% MDPI,4
Oppo A37,Android,5,12,1920,1080,1920,294,100% MDPI,4
Xiaomi Redmi Note 3,Android,5.5,14,1920,1080,1920,403,100% MDPI,4
Apple iPad Air,iOS,9.7,24.4,2048,1536,2048,264,100% MDPI,4
Apple iPad Mini 2,iOS,7.9,20.1,2048,1536,2048,264,100% MDPI,4
Apple iPad Mini 4,iOS,7.9,20.1,2048,1536,2048,264,100% MDPI,4
